1.323817392312592	Alors pourquoi les dirigeants d'Amérique centrale ont-ils signé cet Accord ?	Warum also haben die politischen Führer Zentralamerikas das Abkommen unterzeichnet?
1.307061168119884	The 2008 version of Prime Minister Putin will undoubtedly be stronger than the 1999 version.	Die 2008er Version des Ministerpräsidenten Putin wird zweifellos stärker sein als die 1999er Version.
1.3026371429812962	L’inviter à prendre un café et lui demander ce que le gouvernement peut faire pour lui ?	Ihm eine Tasse Kaffee anbieten und fragen, was die Regierung für ihn tun könne?
1.296483144128324	Comment décider de soigner une petite fille, mais pas son frère ?	Wie entscheidet man, ein junges Mädchen zu behandeln, ihren kleinen Bruder aber nicht?
1.2955996003504813	Bien sûr, un tel « gouvernement » existe déjà sous la forme de la Banque centrale européenne.	Selbstverständlich gibt es eine solche „Regierung“ bereits in Form der Europäischen Zentralbank.
1.2869296057659845	Le second point clé concerne la structure interne de l’UE.	Der zweite entscheidende Punkt betrifft die interne Struktur der EU.
1.2865703389880305	Et voici, je suis avec vous tous les jours, jusqu'à la fin du monde.	Und siehe, ich bin bei euch alle Tage bis an der Welt Ende.
1.2856834153754058	L'OTAN peut-il jouer un rôle dans la lutte contre le terrorisme international ?	Kann die NATO im Kampf gegen den internationalen Terrorismus eine Rolle spielen?
1.2847622521508777	Mais il n'y a pas que la diversité ethnique et culturelle à avoir changé le visage du football européen.	Doch ist es nicht allein die ethnische und kulturelle Vielfalt, die das Gesicht des europäischen Fußballs verändert hat.
1.283784185525792	Deux facteurs pourraient aider l'Union européenne à prendre la bonne direction.	Zwei Faktoren könnten der EU dabei helfen, Schritte in die richtige Richtung zu setzen.
1.2833662556323853	Mais ses mensonges n'ont pas entraîné son pays dans une guerre qui a coûté des milliers de vies.	Doch haben seine Lügen sein Land nicht in einen Krieg geführt, der Tausende das Leben gekostet hat.
1.2825570656997434	Il en va de même pour les deux plus grands criminels européens du vingtième siècle.	Dasselbe gilt für die beiden größten europäischen Verbrecher des 20. Jahrhunderts.
