1.2413585621515986	“人依偎在它之上”这件事只能开启（sichereignen）。	Was der Mensch sei, so Dilthey, dies sagt ihm nur die Geschichte.
1.2395440655140704	尽管这些政策必须在地方层面实施，但必须由欧洲机构来加以促进和支持。	Obwohl diese Richtlinien auf lokaler Ebene umgesetzt werden müssen, sollten sie von europäischen Institutionen initiiert und unterstützt werden.
1.237383642916607	我们必须理解狗狗自己的想法，并帮助它们理解我们自己。	Wir müssen versuchen, Hunde auf ihre Art zu verstehen und ihnen helfen, uns zu verstehen.
1.2343708294469429	《宪法》草案为许多欧盟治理方面的问题提供了可接受的答案。	Der Verfassungsentwurf bietet akzeptable Antworten auf zahlreiche Fragen der Regierungsführung.
1.2303745813164164	年龄的因素，而不是社会阶层将决定着6月的选举结果。	Alter, nicht soziale Schicht, wird das Wahlergebnis im Juni bestimmen.
1.2282047697094538	       俄罗斯还需要一个全国安全战略以补充其政治和经济复苏。	Außerdem ist in Russland eine nationale Sicherheitsstrategie vonnöten, um die politische und wirtschaftliche Erneuerung zu vervollständigen.
1.2266134838330487	事实上，各国政府和国际组织试图寻找更持久的解决办法。	Tatsächlich weisen die Bemühungen der Regierungen und internationalen Organisationen nachhaltigeren Lösungen den Weg.
1.2249150921461385	这也意味着为发展中国家的环境保护提供更多的资源。	Überdies bedeutet es, den Entwicklungsländern mehr Ressourcen für den Umweltschutz zur Verfügung zu stellen.
1.2248242297184557	首先，德国应该在指挥和协调欧元区政策反应方面其到更大的作用。	Zuerst muss Deutschland eine noch größere Rolle bei der Führung und Koordination der Eurozonen-Politik spielen.
1.2214237207947591	第一是文化：保护和强化苏格兰民族身份。	Der erste ist kulturell: die Identität des schottischen Volkes zu schützen und stärken.
1.2211542201883567	迫使司法体系和其他关键国家机构屈服是毒品卡特尔的主要目标。	Das Justizsystem und andere wichtige staatliche Institutionen in die Knie zu zwingen, ist das Hauptziel der Drogenkartelle.
1.2210473961963715	政府和国际组织是时候将MH17遇袭事件定性为潜在的战争罪行。	Es ist an der Zeit, dass Regierungen und internationale Organisationen den Angriff auf MH17 als vermutliches Kriegsverbrechen bezeichnen.
1.2159369989356563	有消息称他将在今年访问其他拉丁美洲国家，包括故乡阿根廷。	Es gibt Andeutungen, dass er in diesem Jahr noch andere lateinamerikanische Länder besuchen wird, darunter sein Heimatland Argentinien.
1.2151847259584772	如果这样，伊斯兰就可能真正成为欧洲社会价值观重要的灵感源泉。	Auf diese Art könnte der Islam wirklich eine Quelle der Inspiration für die europäische Wertegemeinschaft werden.
1.2142105822729292	必须清除强制劳工、童工以及工作场所中的歧视。	Zwangsarbeit, Kinderarbeit und Diskriminierung am Arbeitsplatz müssen beseitigt werden.
1.2132650070933422	塔利班对抗的不是西方文化，而是传统的阿富汗文化。	Die Taliban bekämpften nicht die westliche Kultur, sondern traditionelle afghanische Kultur.
1.2120254603389973	此外，政府和监管者可以采取务实举措刺激私人部门投资于更加清洁的能源形式。	Zudem können Regierungen und Regulierungsbehörden konkrete Maßnahmen ergreifen, um Investitionen des privaten Sektors in sauberere Energieformen zu fördern.
1.2085265774412077	他輸掉了這個案子，然而約翰·亞當斯之後寫道：「美國獨立就是在那個時候出生的。	Er verlor den Prozess, aber John Adams schrieb später: „Die amerikanische Unabhängigkeit wurde dort und zu dieser Zeit geboren.“
1.2076507784525832	有效解决全球变暖需要长期创新，让所有人都用得起绿色能源。	Die Lösung des Problems der globalen Erwärmung erfordert  effektiv langfristige Innovationen, die grüne Energien für alle erschwinglich machen.
1.2065250503027127	自由或保守派的所有政治家都希望前进，而不想倒退。	Jeder Politiker, egal ob liberal oder konservativ, möchte sich vorwärts bewegen, nicht rückwärts.
1.2048940918629416	2001年9月11日发生恐怖袭击后，布什总统开始推行单边外交政策。	Nach den Terroranschlägen vom 11. September 2001 begann Präsident Bush eine unilaterale Außenpolitik zu verfolgen.
1.2042508001971366	他们或出生在加沙，或是在1948年战争及其他的战争中被作为难民赶到那里。	Sie wurden in Gaza geboren oder im Krieg von 1948 oder in anderen Kriegen als Flüchtlinge dorthin vertrieben.
1.2016083820425927	中国中央银行行长最近也强调了这个基本观点。	Dieser grundlegende Punkt wurde vom Gouverneur der chinesischen Zentralbank jüngst hervorgehoben.
1.2006784245456568	这三项措施的目标是同时重建国家权威和经济活力。	Das Ziel dieser drei Maßnahmen bestand darin, sowohl die staatliche Autorität als auch die wirtschaftliche Dynamik wiederherzustellen.
1.2000268893382968	而另一个问题则关于这场灾难对全球供应链的影响。	Eine Schlüsselfrage betrifft die Auswirkungen der Katastrophe auf die globalen Lieferketten.
1.1993488736894469	   第三，国际社会有责任实现其增加援助的承诺。	·        Drittens: Die internationale Gemeinschaft ist verpflichtet, ihrem Versprechen nachzukommen, die Entwicklungshilfe zu erhöhen.
1.1987751630634331	2001年9月11日的恐怖袭击迫使我们做出强烈的反应。	Die Terroranschläge vom 11. September 2001 erforderten eine starke Antwort.
1.1972626866886953	首先大部分故事都是关于欧洲金融危机的，全球世界在都在谈论这一点。	An erster Stelle steht die Geschichte über die Finanzkrise in Europa, über die alle Welt redet.
