1.323817392312592	Warum also haben die politischen Führer Zentralamerikas das Abkommen unterzeichnet?	Alors pourquoi les dirigeants d'Amérique centrale ont-ils signé cet Accord ?
1.307061168119884	Die 2008er Version des Ministerpräsidenten Putin wird zweifellos stärker sein als die 1999er Version.	The 2008 version of Prime Minister Putin will undoubtedly be stronger than the 1999 version.
1.3026371429812962	Ihm eine Tasse Kaffee anbieten und fragen, was die Regierung für ihn tun könne?	L’inviter à prendre un café et lui demander ce que le gouvernement peut faire pour lui ?
1.296483144128324	Wie entscheidet man, ein junges Mädchen zu behandeln, ihren kleinen Bruder aber nicht?	Comment décider de soigner une petite fille, mais pas son frère ?
1.2955996003504813	Selbstverständlich gibt es eine solche „Regierung“ bereits in Form der Europäischen Zentralbank.	Bien sûr, un tel « gouvernement » existe déjà sous la forme de la Banque centrale européenne.
1.2869296057659845	Der zweite entscheidende Punkt betrifft die interne Struktur der EU.	Le second point clé concerne la structure interne de l’UE.
1.2865703389880305	Und siehe, ich bin bei euch alle Tage bis an der Welt Ende.	Et voici, je suis avec vous tous les jours, jusqu'à la fin du monde.
1.2856834153754058	Kann die NATO im Kampf gegen den internationalen Terrorismus eine Rolle spielen?	L'OTAN peut-il jouer un rôle dans la lutte contre le terrorisme international ?
1.2847622521508777	Doch ist es nicht allein die ethnische und kulturelle Vielfalt, die das Gesicht des europäischen Fußballs verändert hat.	Mais il n'y a pas que la diversité ethnique et culturelle à avoir changé le visage du football européen.
1.283784185525792	Zwei Faktoren könnten der EU dabei helfen, Schritte in die richtige Richtung zu setzen.	Deux facteurs pourraient aider l'Union européenne à prendre la bonne direction.
1.2833662556323853	Doch haben seine Lügen sein Land nicht in einen Krieg geführt, der Tausende das Leben gekostet hat.	Mais ses mensonges n'ont pas entraîné son pays dans une guerre qui a coûté des milliers de vies.
1.2825570656997434	Dasselbe gilt für die beiden größten europäischen Verbrecher des 20. Jahrhunderts.	Il en va de même pour les deux plus grands criminels européens du vingtième siècle.
1.2818776499978555	Die öffentliche Meinung zählt und die russischen Eliten wissen das.	L'opinion publique compte et l'élite russe le sait.
1.281501036659641	Anders ausgedrückt: Die Verbündeten der Hamas sind die Feinde dieser Regime.	Autrement dit, les alliés du Hamas sont les ennemis de ces régimes.
1.2799402482396312	Auch haben sie eine Kosten-Nutzen-Analyse durchgeführt, bevor sie ein Kind bekommen haben.	Ils ont également effectué une analyse coût/bénéfice avant d’avoir un enfant.
1.2789213352330986	Der Film veranschaulicht, was sich während dieser Tage im Weißen Haus ereignete.	Le film montre ce qui s'est passé à la Maison Blanche durant ces journées.
1.27807378286363	Was wie ein kleiner Schritt für die Menschheit aussieht, ist sicherlich ein großer Sprung für Europa.	Ce qui semble être un petit pas pour l’humanité est sans aucun doute un grand pas pour l’Europe.
1.2769402844950974	Wie bereiten wir nun also unsere Kinder und künftige Generationen auf derartige Zeiten vor?	Ainsi, comment préparer nos enfants et les générations futures à une telle évolution ?
1.2764147364501959	Auf jeden Fall wird der Krieg im Irak nicht die Energievorräte der Welt in 50 Jahren sichern.	Quoi qu'il en soit, la guerre en Irak ne protègera pas les réserves énergétiques mondiales dans 50 ans.
1.2759660267752007	Während ihre Söhne und Töchter zur Arbeit gehen, werden sie die echten Eltern der nächsten Generation.	Pendant que leurs fils et leurs filles vont travailler, ils deviennent les vrais parents de la génération suivante.
1.2753496947245795	Zum ersten Mal in fünfzig Jahren teilen China und Taiwan echte Interessen.	Pour la première fois en cinquante ans, la Chine et Taiwan partagent de véritables intérêts.
1.2739454583884366	Tatsächlich scheint keine Macht dazu in der Lage zu sein, diesen Trend in den kommenden Jahren umzukehren.	Aucune force ne semble en effet capable d’inverser cette tendance dans les années à venir.
1.272938006978469	„The New Climate Economy“ hält dies für eine sehr schlechte Idee.	Selon « La Nouvelle économie climatique », ce serait une très mauvaise idée.
1.2725958438012863	Keines dieser Länder zieht eine militärische Lösung der Afghanistankrise in Betracht.	Aucun de ces pays n’envisage une solution militaire à la crise afghane.
1.271079814039874	In Japan tätige Versicherungsunternehmen haben einen Teil der Verluste erstattet.	Les compagnies d’assurance opérant au Japon ont remboursé une partie des pertes.
1.2710113503938114	Es geht nicht darum, einheimische Hersteller zu schützen, sondern unseren Planeten zu schützen.	Il ne s’agit pas de protéger les producteurs locaux, mais de protéger notre planète.
1.2708810683115648	Die internationale Gemeinschaft kann die Palästinenser zu einer Entscheidung drängen.	La communauté internationale peut pousser les Palestiniens à prendre une décision.
1.270752404819361	Die europäischen Finanzmärkte wurden und werden zu einem gewissen Grade immer noch von einigen wenigen Großbanken beherrscht.	Les marchés financiers européens étaient, et sont toujours, dans une certaine mesure, dominés par quelques grandes banques.
1.2704855208512547	Aus politischen Gründen jedoch wurden die Veränderungen stets auf nahezu apologetische Weise begründet.	Cependant, pour des raisons politiques, les changements ont toujours été justifiés d'une manière presque apologétique.
1.269704166300173	Wahrlich, wer von ihnen dir folgt, mit euch allesamt fülle ich die Hölle!“	Et quiconque commet cela, par excès et par iniquité, Nous le jetterons au Feu, voilà qui est facile pour Allah.
